"site_id","utm_zone","epsg","cell_e0","cell_n0","x_centroid","y_centroid","lon_centroid","lat_centroid"
"UTM29N_E1090000_N4620000","29N",32629,1090000,4620000,1095000,4625000,-1.86724856689031,41.5549507185859
"UTM29N_E830000_N4260000","29N",32629,830000,4260000,835000,4265000,-5.16038845600711,38.4704187288762
"UTM29N_E960000_N4200000","29N",32629,960000,4200000,965000,4205000,-3.71461807456846,37.8737879327836
"UTM29N_E950000_N4610000","29N",32629,950000,4610000,955000,4615000,-3.54466445279627,41.55713691639
"UTM29N_E1010000_N4460000","29N",32629,1010000,4460000,1015000,4465000,-2.95292902828201,40.1772550410602
"UTM29N_E910000_N4540000","29N",32629,910000,4540000,915000,4545000,-4.07002590583302,40.9506846318397
"UTM29N_E1220000_N4680000","29N",32629,1220000,4680000,1225000,4685000,-0.251766623802031,41.9824183240519
"UTM29N_E710000_N4440000","29N",32629,710000,4440000,715000,4445000,-6.47667410657381,40.1278516953278
"UTM29N_E640000_N4370000","29N",32629,640000,4370000,645000,4375000,-7.31328886936463,39.5124105776276
"UTM29N_E1130000_N4510000","29N",32629,1130000,4510000,1135000,4515000,-1.50458129434977,40.5420112977118
"UTM29N_E1170000_N4520000","29N",32629,1170000,4520000,1175000,4525000,-1.02598487753989,40.5997347212543
"UTM29N_E810000_N4260000","29N",32629,810000,4260000,815000,4265000,-5.38918394268932,38.4777046936651
"UTM29N_E990000_N4170000","29N",32629,990000,4170000,995000,4175000,-3.3954699468698,37.5889103494779
"UTM29N_E1020000_N4130000","29N",32629,1020000,4130000,1025000,4135000,-3.08577280415946,37.2137004319313
"UTM29N_E960000_N4610000","29N",32629,960000,4610000,965000,4615000,-3.42530664716769,41.5513946330027
"UTM29N_E880000_N4540000","29N",32629,880000,4540000,885000,4545000,-4.42528320416097,40.9653614811294
"UTM29N_E1090000_N4120000","29N",32629,1090000,4120000,1095000,4125000,-2.30975734596279,37.0822758430389
"UTM29N_E1100000_N4580000","29N",32629,1100000,4580000,1105000,4585000,-1.78807892216952,41.1900365072803
"UTM29N_E1e+06_N4580000","29N",32629,1e+06,4580000,1005000,4585000,-2.97319710213372,41.2584688325012
"UTM29N_E1040000_N4650000","29N",32629,1040000,4650000,1045000,4655000,-2.43532974280143,41.8589630273971
"UTM29N_E830000_N4280000","29N",32629,830000,4280000,835000,4285000,-5.15079457116394,38.6502528734636
"UTM29N_E1230000_N4610000","29N",32629,1230000,4610000,1235000,4615000,-0.218232057251016,41.3501688098578
"UTM29N_E840000_N4280000","29N",32629,840000,4280000,845000,4285000,-5.03614448927666,38.6464183580923
"UTM29N_E1020000_N4160000","29N",32629,1020000,4160000,1025000,4165000,-3.06456134379068,37.4826690001982
"UTM29N_E1200000_N4590000","29N",32629,1200000,4590000,1205000,4595000,-0.595942025460901,41.1986750663548
"UTM29N_E1200000_N4580000","29N",32629,1200000,4580000,1205000,4585000,-0.607397628543341,41.1095631398288
"UTM29N_E1130000_N4680000","29N",32629,1130000,4680000,1135000,4685000,-1.32768518761159,42.0599114278674
"UTM29N_E1140000_N4680000","29N",32629,1140000,4680000,1145000,4685000,-1.20793326666766,42.0517941626736
"UTM29N_E1180000_N4620000","29N",32629,1180000,4620000,1185000,4625000,-0.798272686569308,41.4832520906524
