GLCM_V,GLCM_M,NDVI,MSAVI2,GLCM_H,NIR,RED,GLCM_C,GPP,LST,pa,HH,HV,pH,SC,BD,OCD,Dist_PL,Bio1,Bio2,Bio12,TRI,TWI,Dem,Dist_MR,Catt_Ext,Catt_Ext_M,Goat_Ext,Goat_Ext_M,Hors_Ext,Hors_Ext_M,Farm_Ext,Farm_Ext_M,Pig_Ext,Pig_Ext_M,Shee_Ext,Shee_Ext_M,CLC,PDSI,x,y,Species
0.416546434164,0.981052339077,0.614903725931,0.761507957016,0.00145615951624,3229,770,3.65999119822e-4,317,24.81,1,-17.6378054038,-27.5096606854,67,427,128,367,400,11.8542,10.825,531,1.0954,12.7394,839,900,0,0,0,0,0,0,0,0,0,0,0,0,212,-140,802222.4616,4703426.2272,P_orientalis
4.57009952335,0.735688253683,0.380591957549,0.536952177791,5.80946837568e-4,0,0,2.46390543633e-4,40,27.45,1,-11.07245712,-21.8695255184,75,423,136,329,3000,10.5667,12.8333,473,12.1078,11.3042,1040,3000,0,0,0,0,0,0,5.24224,5.25694,0,0,5.24224,5.25694,321,60,1072564.5757,4629690.2411,P_orientalis
4.64834786373,0.728279368865,0.378897466027,0.534898384021,5.36219550854e-4,0,0,2.46108479598e-4,45,27.45,1,-11.6265804398,-20.7949416529,75,439,136,309,3000,10.575,12.7667,471,11.4368,11.0951,1038,3000,0,0,0,0,0,0,5.24224,5.25694,0,0,5.24224,5.25694,321,60,1073398.0059000002,4629268.313999999,P_orientalis
4.7265962041,0.720870484046,0.377202974505,0.532844590251,4.9149226414e-4,0,0,2.45826415563e-4,51,28.17,1,-13.0475870044,-23.3184593219,75,417,137,323,3000,10.6083,12.8,471,9.859,11.0896,1034,3000,0,0,0,0,0,0,5.24224,5.25694,0,0,5.24224,5.25694,321,60,1073691.8657,4629100.5359000005,P_orientalis
4.80484454447,0.713461599228,0.375508482983,0.53079079648,4.46764977426e-4,0,0,2.45544351528e-4,32,28.17,1,-16.033902739,-25.7216524608,75,417,137,343,3000,10.575,12.75,471,5.3479,11.1352,1029,3000,0,0,0,0,0,0,5.24224,5.25694,0,0,5.24224,5.25694,321,60,1073883.9666,4628970.482999999,P_orientalis
9.2120513916,0.806850492954,0.441441441441,0.612452146267,1.04972532426e-4,2480,961,5.23722788785e-4,127,31.43,1,-19.0103817028,-30.1507095952,67,462,141,345,3000,15.3792,13.475,568,3.1305,11.5431,515,3000,0.278964,0.306796,0.109233,0.120131,0,0,27.132,29.8389,0.587338,0.645935,26.1565,28.766,211,-160,823195.7147000004,4299483.1207,P_orientalis
10.010058403,0.809724330902,0.474877608864,0.643915218657,1.23538222397e-4,2862,1019,1.93827683688e-4,130,29.77,1,-16.6387333007,-26.478503946,71,387,139,337,2154.07,15.4667,12.9667,636,6.1156,11.6048,523,3000,4.23599,5.06477,0.0613192,0.0733163,0,0,35.0041,41.8527,10.0754,12.0467,20.6314,24.668,211,-140,743919.0817,4255098.372199999,P_orientalis
2.93766522408,0.546343922615,0.369654364382,0.539742169866,9.6016949101e-5,3507,1614,-1.29408072098e-4,93,31.41,1,-16.9360788516,-26.4010660812,79,243,144,239,894.427,17.3792,12.8083,310,2.2361,11.3912,209,0,0.0280924,0.0475836,0.17739,0.300467,0,0,2.68226,4.54327,0,0,2.47678,4.19522,212,-170,1194639.0141000003,4216282.5638999995,P_orientalis
0.342479974031,0.337246745825,0.188834706575,0.317649681986,2.24292030907e-4,3535,2412,3.11516021611e-4,40,28.13,1,-12.7329840239,-20.5885213759,78,482,140,230,3000,14.2708,13.2083,364,3,11.1281,672,2400,0.470292,0.906395,0.0768493,0.148112,0,0,0.827608,1.59505,0,0,0.280467,0.540546,211,-170,1185277.6919,4311872.388800001,P_orientalis
0.567475259304,0.528873562813,0.251881673377,0.402371299128,2.12059661862e-4,3576,2137,2.7821555705e-5,47,30.59,1,-14.9238677891,-26.1104564851,76,232,131,313,3000,14.2917,10.85,415,3.7683,11.571,309,1082,8.41086,9.72676,0.0736244,0.0851432,0,0,11.0496,12.7783,0,0,2.56508,2.96639,211,-150,1126270.9346000003,4679428.0032,P_orientalis
1.70556306839,0.426353275776,0.203879941435,0.338670724709,1.30145403091e-4,3289,2175,7.33351684175e-4,45,33.03,1,-15.3021840694,-27.3505475167,77,207,130,333,3000,14.0917,10.8833,425,4.7117000000000004,10.2945,351,3000,8.41086,9.72676,0.0736244,0.0851432,0,0,11.0496,12.7783,0,0,2.56508,2.96639,211,-150,1127703.5012999997,4681464.173900001,P_orientalis
4.26616001129,0.818101584911,0.427486712225,0.598893578003,1.39614930958e-4,2820,1131,4.139190878e-6,349,32.49,1,-15.3344669918,-29.1430616145,67,468,138,334,3000,15.4292,13.475,564,3.0332,12.1998,506,3000,0.278964,0.306796,0.109233,0.120131,0,0,27.132,29.8389,0.587338,0.645935,26.1565,28.766,321,-160,824230.6771,4301805.209100001,P_orientalis
2.16487121582,0.951612949371,0.609806451613,0.757585179565,9.64866776485e-4,3119,756,9.483370377e-5,94,26.99,1,-14.8930727965,-25.8412947056,65,487,140,347,3000,15.45,13.6833,563,5.6921,10.7899,527,2100,4.7354,4.81811,0.113335,0.115315,0.201984,0.205512,20.0909,20.4419,0.257529,0.262028,14.7827,15.0409,211,-160,836522.159,4276625.5907000005,P_orientalis
4.8177895546,0.582376539707,0.185606756012,0.313066730264,8.5680927441e-5,3229,2218,-5.6944765674e-5,159,24.39,1,-17.4524005067,-30.3508541563,76,439,137,282,3000,14.4042,12.1083,412,2.7203,11.2136,748,3000,0.622684,0,0,0,0,0,0.622684,0,0,0,0,0,221,-180,934111.4221999999,4412515.909600001,P_orientalis
4.09652233124,0.5715020895,0.30390625,0.466110118113,9.1390618763e-5,3338,1782,-1.17700386909e-4,90,24.39,1,-16.4446502019,-29.1960783994,77,412,138,287,3000,14.4708,12.1417,411,1.0954,11.642,746,3000,0.622684,0,0,0,0,0,0.622684,0,0,0,0,0,221,-180,934332.3135000002,4412456.3434,P_orientalis
3.22759842873,0.5359775424,0.330463234028,0.496731816034,8.3083265054e-5,3863,1944,1.66681784322e-4,47,29.93,1,-17.3023657069,-27.5389061327,79,191,144,217,3000,17.4208,13.325,296,1.0954,13.1104,181,1237,0.353613,0.775655,0.177761,0.38992,0,0,3.63884,7.98185,0,0,3.10747,6.81628,211,-180,1170919.2641000003,4206186.592499999,P_orientalis
2.04168772697,0.532415926456,0.261339092873,0.414353881514,1.31278080516e-4,4088,2394,3.85873485357e-4,103,28.05,1,-12.0716146633,-22.5596852036,78,425,140,274,3000,14.5958,12.9083,361,5.1381,10.0967,601,1200,0.215065,0.368528,0.342617,0.587097,0,0,2.25504,3.86415,0,0,1.69735,2.90853,211,-170,1195806.5109,4306679.210200001,P_orientalis
4.28911399841,0.524043738842,0.272788316267,0.428614494314,1.18435324111e-4,3791,2166,5.84168883506e-4,125,27.99,1,-15.4684608589,-25.6860788017,78,432,138,275,3000,14.7458,12.925,357,4.858,10.3801,585,900,0.215065,0.368528,0.342617,0.587097,0,0,2.25504,3.86415,0,0,1.69735,2.90853,211,-170,1195618.3810999999,4305978.3148,P_orientalis
5.56720495224,0.432791858912,0.178576422878,0.303012435228,1.28255356685e-4,4214,2937,3.90564149711e-4,125,30.89,1,-17.6706620912,-28.1927462101,77,416,135,295,3000,14.9,12.8167,362,5.8992000000000004,10.8389,549,849,0.215065,0.368528,0.342617,0.587097,0,0,2.25504,3.86415,0,0,1.69735,2.90853,211,-160,1198600.1648000004,4306938.323100001,P_orientalis
2.9171705246,0.60768944025,0.30536814315,0.467809221628,1.07181323983e-4,2225,1184,5.6961516384e-4,245,37.83,1,-15.7277604022,-26.5174833217,69,422,136,362,3000,15.9042,13.1583,621,7.6289,10.1019,471,3000,2.02604,2.19331,0.0741575,0.0802801,0,0,27.1766,29.4204,1.26767,1.37234,23.8087,25.7745,211,-140,754160.4940999998,4261768.295600001,P_orientalis
14.130440712,0.804289340973,0.341344924572,0.508911566797,3.17001453368e-4,2623,1288,6.96745351888e-4,85,34.27,1,-15.3488535618,-27.4225105599,66,418,140,349,3000,15.1958,13.225,633,4.2426,11.3928,545,1200,0.889461,1.03249,0.0806776,0.0936512,0,0,15.6123,18.1229,4.18139,4.85379,10.4608,12.143,211,-150,788399.1360999998,4258545.2687,P_orientalis
7.76256119361,0.682395953989,0.352598059116,0.504625282756,2.29490085303e-4,0,0,2.42207607904e-4,89,28.59,1,-15.0585890008,-26.5959708103,79,450,138,269,3000,14.6792,13.0917,366,3.4928,10.5408,597,3000,0.215065,0.368528,0.342617,0.587097,0,0,2.25504,3.86415,0,0,1.69735,2.90853,211,-160,1197970.7489,4302483.268999999,P_orientalis
8.15721856635,0.687207125151,0.352027569927,0.504314631136,2.32130329788e-4,0,0,2.4171705908e-4,68,27.93,1,-12.0346690966,-24.8302996224,78,433,139,234,3000,14.6708,13.1583,366,5.1769,10.8001,602,3000,0.215065,0.368528,0.342617,0.587097,0,0,2.25504,3.86415,0,0,1.69735,2.90853,211,-160,1198027.3366999999,4301775.4242,P_orientalis
8.14206504822,0.700796544552,0.220770630064,0.361659325134,9.299035446e-5,3691,2356,2.22206275794e-4,89,27.45,1,-21.020207212,-30.9371125476,77,223,130,349,3000,13.9125,10.6583,474,2.0976,11.2887,332,3000,0,0,0,0,0,0,0,0,0,0,0,0,323,80,1113110.7794000003,4702987.421499999,P_orientalis
19.0134181976,0.741130828857,0.416868768526,0.588390607246,4.35660942458e-4,2629,1082,6.53010152746e-4,280,35.91,1,-9.90876890517,-21.2514708593,74,373,140,341,3000,15.1708,13.3917,656,1,12.7208,591,2285,0.0141043,0.0146911,0,0,0,0,6.85031,7.1353,0.0819815,0.0853922,6.75422,7.03522,321,-140,766943.8932999996,4243656.701199999,P_orientalis
16.5320186615,0.757808208466,0.529078906004,0.691979205595,4.41449927166e-4,2432,749,2.42524765781e-4,265,35.81,1,-10.4424461084,-21.5550020477,74,375,140,344,3000,15.15,13.35,657,1.0954,12.5445,593,2121,0.0141043,0.0146911,0,0,0,0,6.85031,7.1353,0.0819815,0.0853922,6.75422,7.03522,321,-140,766709.1032999996,4243384.6822999995,P_orientalis
6.33985710144,0.845173895359,0.498478922208,0.665280933554,2.46584357228e-4,3448,1154,7.2351758718e-5,92,33.61,1,-17.9915999538,-28.7638554192,71,616,136,265,894.427,11.7917,12.0333,388,3,12.1803,864,1921,0.593306,0.606557,0,0,0,0,7.16087,7.32081,0,0,6.56756,6.71425,211,-150,836731.1370000001,4539571.0745,P_orientalis
7.41686725616,0.715047895908,0.336759038356,0.503809721927,9.0256107796e-5,3642,1807,3.72972281184e-4,90,33.37,1,-13.0558763859,-26.6884450335,72,586,130,292,3000,12.1042,12.2083,393,2.4495,11.6625,739,3000,0,0,0,0,0,0,0,0,0,0,0,0,212,-160,852988.7339000003,4576666.4113,P_orientalis
4.75560712814,0.749543309212,0.383948834331,0.554823047938,7.1087022661e-5,3354,1493,2.2170403099e-5,208,33.67,1,-20.1584707785,-30.3508541563,73,594,128,289,3000,12.075,12.2167,392,0.8944,11.5025,748,3000,0,0,0,0,0,0,0.20233400000000001,0.236038,0,0,0.20233400000000001,0.236038,211,-160,852853.2208000002,4574779.6525,P_orientalis
10.1086339951,0.85507774353,0.463253509496,0.633150074625,4.00014163461e-4,3544,1300,1.33808891405e-4,253,29.77,1,-16.1121545263,-25.9870752963,73,421,128,378,2529.82,11.95,11.7833,488,8.8657,10.757,792,2419,0,0,0,0,0,0,0,0,0,0,0,0,211,-150,811379.7695000004,4613500.1534,P_orientalis
3.83150839806,0.916594207287,0.529197080292,0.692095850015,6.41861639451e-4,3771,1161,-5.2463976317e-5,312,31.11,1,-15.7127329077,-24.5351196274,74,411,127,358,2000,11.9375,11.7417,492,7.4162,10.5154,794,2419,0,0,0,0,0,0,0,0,0,0,0,0,211,-150,810884.8738000002,4612684.5931,P_orientalis
7.75290822983,0.583801448345,0.181840252488,0.307680153435,5.0387792726e-5,2434,1685,9.8101241747e-5,161,35.85,1,-14.3695083163,-27.9283388221,72,371,138,388,3000,15.1833,13.1333,657,3.6878,11.5649,591,3000,0.09494,0.100512,0,0,0,0,14.8492,15.7207,0,0,14.7543,15.6202,211,-140,758008.9659000002,4243263.068,P_orientalis
7.98058462143,0.588457524776,0.151601713936,0.26325408374,5.0994865887e-5,2822,2079,1.57574831974e-4,302,35.77,1,-18.6450585347,-30.3104545968,72,396,138,344,3000,15.1583,13.1167,656,6.4807,11.4415,591,3000,0.09494,0.100512,0,0,0,0,14.8492,15.7207,0,0,14.7543,15.6202,211,-140,758017.9008,4243175.704299999,P_orientalis
9.33248996735,0.594933092594,0.266531257053,0.420840389566,7.4898627645e-5,2806,1625,4.71273815492e-4,282,36.57,1,-19.2383125257,-30.2903250637,72,400,139,343,3000,15.1167,13.05,657,1.9494,11.6884,583,3000,0.09494,0.100512,0,0,0,0,14.8492,15.7207,0,0,14.7543,15.6202,211,-140,757821.8288000003,4242897.2324,P_orientalis
7.75290822983,0.583801448345,0.181840252488,0.307680153435,5.0387792726e-5,2434,1685,9.8101241747e-5,310,35.85,1,-14.3695083163,-27.9283388221,72,371,138,388,3000,15.1833,13.1333,657,3.6878,11.5649,591,3000,0.09494,0.100512,0,0,0,0,14.8492,15.7207,0,0,14.7543,15.6202,211,-140,757999.0382000003,4243383.6895,P_orientalis
7.48716640472,0.689854383469,0.244444444444,0.392815792035,8.4401181084e-5,2884,1751,-3.522312227e-6,465,38.37,1,-17.2753629194,-29.1783701575,64,485,138,327,565.685,15.7042,12.925,536,5.9833,10.7639,423,300,0.370909,0.407506,0.0716963,0.0787705,0,0,28.1532,30.9311,0,0,27.7106,30.4448,211,-170,818448.2899000002,4319727.1844,P_orientalis
3.79286837578,0.571113705635,0.241658871219,0.389221781996,1.24900660012e-4,3982,2432,2.37169806496e-4,49,32.89,1,-16.2428314192,-26.478503946,78,174,146,231,2683.28,17.4417,13.25,296,1.0954,13.0494,181,1342,0.353613,0.775655,0.177761,0.38992,0,0,3.63884,7.98185,0,0,3.10747,6.81628,212,-180,1170893.9484,4207165.959899999,P_orientalis
3.3900706768,0.570963263512,0.202021849014,0.336106465151,1.32818793645e-4,3686,2447,4.17446019128e-4,60,32.89,1,-17.6753660662,-26.8764005203,78,177,144,229,3000,17.4208,13.325,297,1.4142,12.9389,184,1500,0.353613,0.775655,0.177761,0.38992,0,0,3.63884,7.98185,0,0,3.10747,6.81628,212,-180,1170731.6305999998,4206608.5197,P_orientalis
3.13851952553,0.585750162601,0.303068516183,0.465121163957,1.69312683283e-4,3100,1658,3.5936961649e-4,46,33.55,1,-17.3023657069,-27.5389061327,79,191,144,217,3000,17.4208,13.325,296,1.0954,13.1104,181,1237,0.353613,0.775655,0.177761,0.38992,0,0,3.63884,7.98185,0,0,3.10747,6.81628,211,-180,1170868.1364000002,4206211.411800001,P_orientalis
2.13064885139,0.941103100777,0.522087604846,0.68598880625,6.01749110501e-4,4083,1282,-1.0810502863e-4,216,29.03,1,-17.769984536,-28.0207427749,73,365,129,315,3000,11.2875,11.7917,413,1.5492,12.9916,952,2766,0,0,0,0,0,0,0,0,0,0,0,0,211,-140,930098.1506000003,4612475.1185,P_orientalis
4.39592027664,0.900565624237,0.378822014805,0.5494575684,4.58392634755e-4,4284,1930,6.1925158661e-5,177,28.61,1,-18.2541532487,-26.7684998826,73,407,130,290,3000,11.2833,11.75,412,1.4832,12.8131,950,2546,0,0,0,0,0,0,0,0,0,0,0,0,211,-140,930460.0152000003,4612251.7453000005,P_orientalis
