Species,UTMCODE,Status,AREA_MN,ED,LPI,NP,Year,CA,RegSect
P_alchata,UL2040,Extinction,8.333333333333334,0.640189685832839,0.1185536455246,6,2005,0.4936579375,Northern plateau
P_alchata,UL3040,Extinction,59.09090909090909,3.765541740674955,4.262877442273535,11,2005,5.966043,Northern plateau
P_alchata,TL9030,Extinction,37.5,0.52132701421801,0.947867298578199,3,2005,0.975880625,Northern plateau
P_alchata,UL3030,Extinction,56.69642857142857,4.665482534043813,2.901124925991711,14,2005,7.905397,Northern plateau
P_alchata,UL4020,Persistence,89.58333333333333,8.801431127012522,5.128205128205128,18,2005,15.751732,Northern plateau
P_alchata,UL5020,Extinction,150,9.843937575030012,12.965186074429772,14,2005,20.335272,Northern plateau
P_alchata,UK9040,Extinction,438.8392857142857,15.165876777251185,54.62085308056872,14,2005,58.992656,Southern plateau
P_alchata,VK4040,Colonization,1010.4166666666666,12.789598108747045,55.023640661938536,6,2005,58.282096,Southern plateau
P_alchata,VK8040,Extinction,1826.5625,10.591016548463356,68.73522458628841,4,2005,70.075376,Southern plateau
P_alchata,WK0040,Colonization,9018.75,10.255800118976799,85.84176085663296,1,2005,86.826848,Southern plateau
P_alchata,UK8030,Colonization,4871.875,5.399644760213143,92.24393132030787,2,2005,92.568432,Southern plateau
P_alchata,VK7030,Colonization,894.53125,9.911295091661739,42.10526315789473,8,2005,68.047968,Southern plateau
P_alchata,VK8030,Persistence,2756.25,11.529828706438275,77.79090372120496,3,2005,78.700992,Southern plateau
P_alchata,VK2020,Colonization,1000.8928571428571,11.200951248513674,61.831153388822834,7,2005,67.646568,Southern plateau
P_alchata,WK2020,Colonization,9600,4.607206142941524,90.72652096869463,1,2005,91.293576,Southern plateau
P_alchata,VK2010,Persistence,205.3125,11.715976331360947,23.668639053254438,20,2005,38.713488,Southern plateau
P_alchata,VK4010,Persistence,2160.9375,12.174940898345154,81.38297872340425,4,2005,82.321872,Southern plateau
P_alchata,UK9000,Extinction,638.125,12.615384615384615,55.68047337278107,10,2005,60.718672,Southern plateau
P_alchata,VK3000,Colonization,550.6944444444445,11.771700356718192,44.530321046373366,9,2005,47.727512,Southern plateau
P_alchata,VK4000,Persistence,1119.642857142857,13.049645390070921,72.81323877068559,7,2005,74.093848,Southern plateau
P_alchata,VK6000,Persistence,4425,9.488703923900118,84.0665873959572,2,2005,84.644856,Southern plateau
P_alchata,VJ6090,Persistence,1461.4583333333333,7.733491969066032,81.38013087447948,6,2005,83.978712,Southern plateau
P_alchata,VJ7090,Persistence,488.0208333333333,15.659373151981077,52.57244234180958,12,2005,55.701352,Southern plateau
